sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
1,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,Andhra Pradesh,2023-03-01,2024-01-01,2026-01-01,2026-09-01,265.91,265.91,176.38,80.0,55,July 2026,FlashReport_July_2026.pdf
2,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,Andhra Pradesh,2020-06-01,2020-09-01,2022-09-01,2026-11-01,611.8,824.28,572.99,89.7,55,July 2026,FlashReport_July_2026.pdf
3,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,Andhra Pradesh,2022-12-01,2023-08-01,2025-08-01,2026-08-01,347.15,347.15,189.48,96.0,55,July 2026,FlashReport_July_2026.pdf
4,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,Assam,2016-12-01,2018-03-01,2025-03-01,2026-06-01,1712.0,2520.0,2670.23,99.5,55,July 2026,FlashReport_July_2026.pdf
5,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,Bihar,2024-08-01,2025-04-01,2027-03-01,,1413.0,1413.0,15.53,4.15,55,July 2026,FlashReport_July_2026.pdf
6,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,Bihar,2024-07-01,2024-07-01,2026-07-01,2026-11-01,911.66,911.66,426.22,71.1,55,July 2026,FlashReport_July_2026.pdf
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,Bihar,2018-10-01,2018-10-01,2026-05-01,2026-08-01,1216.9,1216.9,1203.48,99.26,55,July 2026,FlashReport_July_2026.pdf
8,Development of Keshod Airport.,Airport Authority of India [AAI],619054,Gujarat,2024-01-01,2025-07-01,2027-01-01,,363.1,363.1,108.64,46.69,55,July 2026,FlashReport_July_2026.pdf
9,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,Gujarat,2022-06-01,2022-07-01,2026-06-01,2026-09-01,1305.0,1551.0,966.36,88.0,55,July 2026,FlashReport_July_2026.pdf
10,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,Jammu and Kashmir,2023-10-01,2023-12-01,2026-06-01,2026-11-01,861.37,861.37,370.44,58.35,55,July 2026,FlashReport_July_2026.pdf
