sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,report_date
1800,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,108841,PAN India,2023-08,2025-06,2028-06,,3742.0,3742.0,435.31,0.0,157,June 2026,FlashReport_June_2026.pdf,2026-06
1714,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,108841,PAN India,2023-08,2025-06,2028-06,,3742.0,3742.0,435.31,8.15,149,July 2026,FlashReport_July_2026.pdf,2026-07
1715,Amended BharatNet Program - HR,Department of Telecommunications,124199,PAN India,2023-08,2026-03,2029-03,,837.0,837.0,83.68,0.0,149,July 2026,FlashReport_July_2026.pdf,2026-07
1716,Amended BharatNet Program - PB,Department of Telecommunications,171218,PAN India,2023-08,2025-02,2028-02,,1245.0,1245.0,0.0,26.58,149,July 2026,FlashReport_July_2026.pdf,2026-07
1717,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,175860,PAN India,2023-06,2025-05,2028-05,,4943.0,4943.0,562.13,8.4,149,July 2026,FlashReport_July_2026.pdf,2026-07
1718,Amended BharatNet Program - WB & ANI,Department of Telecommunications,210914,PAN India,2023-08,2025-02,2028-02,,1674.0,1674.0,223.41,15.13,149,July 2026,FlashReport_July_2026.pdf,2026-07
1806,Amended BharatNet Program - UP,East,222253,Uttar Pradesh,2023-08,2025-02,2028-02,,5008.0,5008.0,502.0,0.0,158,June 2026,FlashReport_June_2026.pdf,2026-06
1736,Amended BharatNet Program - UP,East,222253,Uttar Pradesh,2023-08,2025-02,2028-02,,5008.0,5008.0,502.0,7.65,150,July 2026,FlashReport_July_2026.pdf,2026-07
1719,Amended BharatNet Program - AS,Department of Telecommunications,240484,PAN India,2023-08,2026-03,2029-03,,832.0,832.0,83.16,0.0,149,July 2026,FlashReport_July_2026.pdf,2026-07
272,Jaipur Metro Rail Project Phase 2,Prahladpura to Todi Mod,245986,Rajasthan,2026-04,2026-04,2031-10,,13037.66,13037.66,1.79,1.79,68,July 2026,FlashReport_July_2026.pdf,2026-07
175,"Meja Thermal Power Project, Stage-II ,",3x800 MW,298178,Uttar Pradesh,2026-06,2026-06,2032-12,,38358.0,38358.0,1002.73,0.02,63,July 2026,FlashReport_July_2026.pdf,2026-07
1720,Amended BharatNet Program - OD,Department of Telecommunications,317725,PAN India,2023-08,2026-07,2029-07,,1713.0,1713.0,0.0,0.0,149,July 2026,FlashReport_July_2026.pdf,2026-07
516,Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant,Steel Authority of India Limited (SAIL,364934,West Bengal,2025-01,2025-02,2028-07,,999.46,999.46,70.37,18.72,80,July 2026,FlashReport_July_2026.pdf,2026-07
