project_code,report_month,project_age_days,original_duration_days,revised_duration_days,expenditure_percent,progress_gap,cost_change,cost_change_percent,project_size_category
612786,July 2026,1218.0,731,974.0,66.33071339927042,-13.669286600729578,0.0,0.0,Small
701107,July 2026,2221.0,730,2252.0,69.5140000970544,-20.185999902945596,212.48000000000002,34.73030402092188,Small
701121,July 2026,1308.0,731,1096.0,54.58159297133805,-41.41840702866195,0.0,0.0,Small
706724,July 2026,3499.0,2557,3014.0,105.96150793650794,6.461507936507942,808.0,47.19626168224299,Medium
612183,July 2026,699.0,699,,1.0990799716914366,-3.050920028308564,0.0,0.0,Medium
612194,July 2026,730.0,730,853.0,46.752078625803485,-24.34792137419651,0.0,0.0,Small
701101,July 2026,2830.0,2769,2861.0,98.89719779768264,-0.3628022023173685,0.0,0.0,Medium
619054,July 2026,912.0,549,,29.920132194987602,-16.769867805012396,0.0,0.0,Small
701126,July 2026,1491.0,1431,1523.0,62.30560928433269,-25.69439071566731,246.0,18.850574712643677,Medium
611047,July 2026,1004.0,913,1066.0,43.0059091911722,-15.3440908088278,0.0,0.0,Small
612787,July 2026,1126.0,731,974.0,52.76936998783037,-35.73063001216963,0.0,0.0,Small
612788,July 2026,1126.0,731,912.0,74.73716855326408,-22.262831446735916,0.0,0.0,Small
612789,July 2026,1126.0,578,1034.0,50.04643291990837,-15.753567080091628,0.0,0.0,Small
400010,July 2026,2922.0,1096,2860.0,80.0859375,-7.9140625,160.0,33.33333333333333,Small
706718,July 2026,1703.0,731,1614.0,42.519038076152306,-10.620961923847695,0.0,0.0,Small
611570,July 2026,2038.0,1066,1400.0,79.87731777493605,-0.12268222506395432,0.0,0.0,Small
618977,July 2026,334.0,730,761.0,5.402123424021234,-8.197876575978766,0.0,0.0,Medium
701127,July 2026,1491.0,1035,1127.0,72.54166666666666,-27.458333333333343,0.0,0.0,Small
701128,July 2026,1126.0,851,1035.0,66.20293122886133,-12.507068771138663,0.0,0.0,Small
612793,July 2026,973.0,913,1278.0,27.1020231392687,-9.037976860731302,0.0,0.0,Small
611602,July 2026,2983.0,761,1279.0,27.493786246893126,-18.506213753106874,0.0,0.0,Medium
701113,July 2026,730.0,1095,1095.0,26.028609760772213,-6.971390239227787,0.0,0.0,Medium
701122,July 2026,760.0,730,853.0,38.78756476683938,-6.152435233160617,0.0,0.0,Small
611495,July 2026,699.0,911,911.0,35.39703034215623,7.497030342156229,0.0,0.0,Medium
612791,July 2026,1218.0,670,974.0,46.76210782820591,-26.737892171794087,0.0,0.0,Small
615820,July 2026,1461.0,3287,,70.53264067096451,-19.197359329035493,0.0,0.0,Small
615821,July 2026,1338.0,2922,,36.50245284322532,31.50245284322532,0.0,0.0,Small
400144,July 2026,2038.0,3012,,5.149948920402403,-6.660051079597597,0.0,0.0,Medium
400149,July 2026,2160.0,3134,,45.01039051000086,-10.939609489999143,0.0,0.0,Medium
400354,July 2026,2038.0,3012,,56.115350860457134,16.77535086045713,0.0,0.0,Large
400424,July 2026,3774.0,2556,4017.0,66.22541552418673,-12.254584475813274,0.0,0.0,Large
613798,July 2026,4168.0,4046,,27.3566092210614,-15.113390778938598,0.0,0.0,Small
613799,July 2026,4018.0,3896,,61.05469615007434,-17.805303849925657,0.0,0.0,Small
613800,July 2026,3652.0,3165,3895.0,63.20050490761496,-32.94949509238504,0.0,0.0,Small
613801,July 2026,2983.0,2861,3592.0,46.00009749914689,-8.599902500853112,0.0,0.0,Small
615191,July 2026,1277.0,2251,,18.836001336532913,16.82600133653291,0.0,0.0,Small
616234,July 2026,1369.0,3804,,0.9686731901868942,-22.781326809813105,0.0,0.0,Medium
617287,July 2026,607.0,1946,,18.75608827332141,-4.99391172667859,0.0,0.0,Medium
617288,July 2026,546.0,1520,,36.29544444734847,15.005444447348474,0.0,0.0,Small
619171,July 2026,303.0,2373,,0.12376288851819812,0.11376288851819813,0.0,0.0,Medium
619172,July 2026,577.0,3012,,0.02420408887741436,0.02420408887741436,0.0,0.0,Medium
400018,July 2026,1430.0,2404,,53.05383926181916,-10.24616073818084,0.0,0.0,Small
400073,July 2026,1642.0,3712,,26.02682872600608,-24.75317127399392,0.0,0.0,Small
400074,July 2026,1642.0,2616,,27.976828248813746,4.696828248813745,0.0,0.0,Small
400136,July 2026,852.0,2922,,0.6402255639097745,-16.129774436090226,0.0,0.0,Medium
