sl_no,project_name,agency,project_code,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,cost_overrun,cost_overrun_percent,expenditure_percent,progress_gap,original_duration_months,revised_duration_months,time_overrun_months
8,Development of Keshod Airport.,Airport Authority of India [AAI],619054,2024-01,2025-07,2027-01,,363.1,363.1,108.64,46.69,55,July 2026,FlashReport_July_2026.pdf,0.0,0.0,29.92,-16.77,36.0,,
46,CHANDRAGUPT OCP,CCL - CIL,400138,2020-08,2020-08,2032-03,,973.5,973.5,772.12,25.11,57,July 2026,FlashReport_July_2026.pdf,0.0,0.0,79.31,54.2,139.0,,
149,Dibang Multipurpose Project,National Hydroelectric Power Corporation Limited [NHPC],602182,2023-02,2023-02,2032-02,2032-02,31876.39,31876.39,4921.36,17.93,61,July 2026,FlashReport_July_2026.pdf,0.0,0.0,15.44,-2.49,108.0,108.0,0.0
216,Transmission System for Integration of Ananthapur 2 REZ Phase 1 for 4.5 GW. SPV Name Anantapuram 2 REZ Transmission Ltd,Sterlite Power,617806,2024-08,2025-03,2027-03,,4535.99,4535.99,1207.57,64.0,65,July 2026,FlashReport_July_2026.pdf,0.0,0.0,26.62,-37.38,31.0,,
217,Inter-Regional Strengthening between SR Grid and ER Grid,Power Grid Corporation of India Limited [POWERGRID],619030,2026-02,2026-02,2028-08,,2722.5,2722.5,190.57,3.0,65,July 2026,FlashReport_July_2026.pdf,0.0,0.0,7.0,4.0,30.0,,
218,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],602223,2014-10,2014-10,2018-12,2027-03,4754.42,9129.32,8141.52,83.9,65,July 2026,FlashReport_July_2026.pdf,1.0,92.02,89.18,5.28,50.0,149.0,99.0
219,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],Power Grid Corporation of India Limited [POWERGRID],607709,2014-12,2016-03,2018-12,2027-03,5111.33,6700.0,5577.75,99.2,65,July 2026,FlashReport_July_2026.pdf,1.0,31.08,83.25,-15.95,48.0,147.0,99.0
220,Eastern Region Expansion Scheme-43 [ERES-43],Power Grid Corporation of India Limited [POWERGRID],617271,2024-09,2024-09,2026-03,2026-09,342.69,342.69,143.93,29.75,65,July 2026,FlashReport_July_2026.pdf,0.0,0.0,42.0,12.25,18.0,24.0,6.0
222,Eastern Region Expansion Scheme-44 [ERES-44],Power Grid Corporation of India Limited [POWERGRID],617270,2024-11,2024-11,2026-05,2027-09,408.94,408.94,6.13,1.5,65,July 2026,FlashReport_July_2026.pdf,0.0,0.0,1.5,0.0,18.0,34.0,16.0
255,"Metro connectivity from Millennium City Centre to Cyber City with Spur to Dwarka Expressway, Gurugram.",Gurugram Metro Rail Limited [GMRL],619022,2023-07,2024-08,2027-07,,5452.72,5452.72,193.32,10.05,67,July 2026,FlashReport_July_2026.pdf,0.0,0.0,3.55,-6.5,48.0,,
285,Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3,Ministry of Housing & Urban Affairs,702746,2017-02,2018-12,2023-03,2026-06,278.28,278.28,186.5,81.0,69,July 2026,FlashReport_July_2026.pdf,0.0,0.0,67.02,-13.98,73.0,112.0,39.0
317,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",NIT Mizoram,612876,2009-09,2014-06,2029-12,2022-03,474.23,474.23,167.55,4.0,70,July 2026,FlashReport_July_2026.pdf,0.0,0.0,35.33,31.33,243.0,150.0,-93.0
395,ONGC-BP Redevelopment Phase-1 Scheme of Mumbai High Field,Oil and Natural Gas Corporation Limited [ONGC],619328,2025-11,2025-11,2027-03,,3713.4,3908.0,2304.68,56.3,74,July 2026,FlashReport_July_2026.pdf,1.0,5.24,58.97,2.67,16.0,,
399,Visakh Raipur Pipeline Project,Hindustan Petroleum Corporation Limited,616254,2024-09,2024-09,2027-09,,2212.0,2212.0,570.0,38.4,74,July 2026,FlashReport_July_2026.pdf,0.0,0.0,25.77,-12.63,36.0,,
457,Establishment of new GMC Leh,"Medical Education, Ministry of Health and Family Welfare",707057,2019-10,1900-01,1900-01,,325.0,325.0,127.0,0.0,77,July 2026,FlashReport_July_2026.pdf,0.0,0.0,39.08,39.08,-1437.0,,
534,Sakri-Hasanpur 79 km,CAO/Con/North/MHX ECR mor,400254,2023-12,2019-04,2024-12,2027-03,735.2,802.45,615.69,80.0,81,July 2026,FlashReport_July_2026.pdf,1.0,9.15,76.73,-3.27,12.0,39.0,27.0
556,Anand Vihar-Tilak Bridge - 3rd & 4th line 9.77 km,CAOC/NR NR mor,705583,2012-06,2014-04,2023-03,2027-12,667.0,701.88,393.68,23.0,82,July 2026,FlashReport_July_2026.pdf,1.0,5.23,56.09,33.09,129.0,186.0,57.0
