project_code,risk_score,overall_risk,cost_risk_level,time_risk_level,num_warnings,explanation
612786,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.3% probability).

Early Warning:
Project requires closer monitoring."
701107,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.8% probability).

Early Warning:
Project requires closer monitoring."
701121,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (91.8% probability).

Early Warning:
Project requires closer monitoring."
706724,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (89.2% probability).

Early Warning:
Project requires closer monitoring."
612183,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 100.0% of original time elapsed, but only 4.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612194,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.8% probability).

Early Warning:
Project requires closer monitoring."
701101,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (96.1% probability).

Early Warning:
Project requires closer monitoring."
619054,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 166.1% of original time elapsed, but only 46.7% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
701126,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.9% probability).

Early Warning:
Project requires closer monitoring."
611047,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.2% probability).

Early Warning:
Project requires closer monitoring."
612787,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.4% probability).

Early Warning:
Project requires closer monitoring."
612788,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (95.3% probability).

Early Warning:
Project requires closer monitoring."
612789,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.2% probability).

Early Warning:
Project requires closer monitoring."
400010,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (91.9% probability).

Early Warning:
Project requires closer monitoring."
706718,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.8% probability).

Early Warning:
Project requires closer monitoring."
611570,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (87.4% probability).

Early Warning:
Project requires closer monitoring."
701127,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (93.2% probability).

Early Warning:
Project requires closer monitoring."
701128,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.0% probability).

Early Warning:
Project requires closer monitoring."
612793,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 106.6% of original time elapsed, but only 36.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
611602,2,MEDIUM,LOW,HIGH,2,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (80.3% probability).
* Low progress near planned completion. 392.0% of original time elapsed, but only 46.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
701122,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 104.1% of original time elapsed, but only 44.9% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
612791,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (85.8% probability).

Early Warning:
Project requires closer monitoring."
615820,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (81.0% probability).

Early Warning:
Project requires closer monitoring."
615821,2,MEDIUM,LOW,LOW,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 36.5% but physical progress is only 5.0% (Gap: 31.5%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
613798,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 103.0% of original time elapsed, but only 42.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
613799,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (72.4% probability).

Early Warning:
Project requires closer monitoring."
613800,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (84.2% probability).

Early Warning:
Project requires closer monitoring."
400138,2,MEDIUM,LOW,LOW,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 79.3% but physical progress is only 25.1% (Gap: 54.2%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400139,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 73.0% but physical progress is only 45.8% (Gap: 27.2%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400151,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 94.3% but physical progress is only 68.9% (Gap: 25.4%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400154,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 89.5% of original time elapsed, but only 11.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400160,2,MEDIUM,LOW,MEDIUM,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 95.7% but physical progress is only 75.6% (Gap: 20.1%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400425,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.7% probability).

Early Warning:
Project requires closer monitoring."
615843,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 125.0% of original time elapsed, but only 30.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
613804,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 87.3% of original time elapsed, but only 17.8% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615194,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 24.5% but physical progress is only 2.0% (Gap: 22.5%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
615195,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 88.9% of original time elapsed, but only 9.4% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400033,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 109.9% of original time elapsed, but only 34.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400177,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.9% probability).

Early Warning:
Project requires closer monitoring."
400178,3,HIGH,LOW,MEDIUM,2,"Overall Risk: HIGH

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 96.2% but physical progress is only 40.6% (Gap: 55.6%).
* Low progress near planned completion. 90.6% of original time elapsed, but only 40.6% physical progress.

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400353,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 115.5% of original time elapsed, but only 19.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615186,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 106.0% of original time elapsed, but only 32.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615188,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 159.4% of original time elapsed, but only 24.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615189,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 108.9% of original time elapsed, but only 12.2% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615192,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 106.8% of original time elapsed, but only 8.4% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615199,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 100.0% of original time elapsed, but only 3.9% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615918,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 171.2% of original time elapsed, but only 16.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615982,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.1% probability).

Early Warning:
Project requires closer monitoring."
616044,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (86.8% probability).

Early Warning:
Project requires closer monitoring."
616050,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (88.7% probability).

Early Warning:
Project requires closer monitoring."
616223,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (82.5% probability).

Early Warning:
Project requires closer monitoring."
400369,3,HIGH,LOW,HIGH,1,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (92.9% probability).

Early Warning:
Project requires closer monitoring."
615183,3,HIGH,LOW,HIGH,2,"Overall Risk: HIGH

Reasons:
* High predicted schedule risk (75.1% probability).
* Significant expenditure-progress mismatch. Expenditure is 77.2% but physical progress is only 57.1% (Gap: 20.1%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
400165,2,MEDIUM,LOW,LOW,1,"Overall Risk: MEDIUM

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 78.7% but physical progress is only 46.6% (Gap: 32.1%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
616233,1,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Significant expenditure-progress mismatch. Expenditure is 47.2% but physical progress is only 18.9% (Gap: 28.2%).

Early Warning:
Project requires closer monitoring due to financial/physical progress divergence."
618982,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (78.1% probability).

Early Warning:
Project requires closer monitoring."
615818,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 141.1% of original time elapsed, but only 20.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615862,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 109.1% of original time elapsed, but only 33.0% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
615863,2,MEDIUM,LOW,HIGH,1,"Overall Risk: MEDIUM

Reasons:
* High predicted schedule risk (81.3% probability).

Early Warning:
Project requires closer monitoring."
400173,1,LOW,LOW,MEDIUM,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 106.3% of original time elapsed, but only 31.5% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
400180,0,LOW,LOW,LOW,1,"Overall Risk: LOW

Reasons:
* Low progress near planned completion. 107.3% of original time elapsed, but only 17.1% physical progress.

Early Warning:
Project requires closer monitoring due to potential stalled progress near deadline."
