project_name,state,agency,total_risk_score,cost_overrun_percent,time_overrun_percent,progress_gap
"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",Jammu and Kashmir,National Hydroelectric Power Corporation Limited [NHPC],9,56.90103203601525,121.2045793927327,32.760185253669846
Luhri Stage-I Hydro Electric Project [210 MW],Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,9,139.99812212796044,83.78378378378379,57.2610171438671
Rammam-III HEPP [3x40 MW],West Bengal,National Thermal Power Corporation [NTPC],9,107.37277832455278,200.05476451259585,64.49352862849535
Tapovan-Vishnugad HEP [4x130 MW],Uttarakhand,National Thermal Power Corporation [NTPC],9,266.2625923438549,258.0449826989619,186.784600402955
Subansiri Lower HE Project [2000 MW],"Multi-States (Arunachal Pradesh, Assam)",National Hydroelectric Power Corporation Limited [NHPC],9,314.86349960940794,235.6276886976926,322.810475599531
Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,Sikkim,National Hydroelectric Power Corporation Limited [NHPC],9,94.83421969753488,78.99740708729472,85.55609417131166
Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Tamil Nadu,Gas Authority of India Limited [GAIL],9,102.71012006861065,392.65050820953877,70.07169811320753
Multi Product Pipeline from Irugur to Devangonthi,Tamil Nadu,MinistryofPetroleumNaturalGas,9,155.45722713864308,225.3058596265293,91.52920353982299
Numaligarh Refinery Expansion Project,Assam,Numaligarh Refinery Limited,9,104.6983664887595,66.59822039698837,78.05895196506549
Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,"Multi-States (Arunachal Pradesh, Sikkim)",Power Grid Corporation of India Limited [POWERGRID],9,92.0175331586187,197.89750328515112,87.3410767243954
Hajipur-Sagauli via Vaishali 148.3 km,Bihar,CAO/Con/North/MHX ECR mor,9,93.09772617319787,58.39029768467475,63.56119980648282
Kelo Irrigation Project,Chhattisgarh,Water Resources-CT,9,58.06248233580449,55.71462098099037,61.824010261538774
Madhya Ganga canal Phase-II,Uttar Pradesh,Irrigation & Water Resources-UP,9,316.45469373132073,51.44332316357663,349.0109069738938
Lower Pedhi Project,Maharashtra,Department of water resources-MH - II,9,478.4662265109192,55.71462098099037,1132.816150330117
Gosikhurd Project,Maharashtra,Department of water resources-MH - II,9,77.44949954630535,72.87021825862473,127.99642804041423
Aruna Medium Irrigation Project,Maharashtra,Department of water resources-MH - II,9,599.52007602756,60.93429158110882,724.2860536944644
Upper Tunga Irrigation Project,Karnataka,Water Resources-KA,9,108.53718707800977,110.24154589371982,97.47027734496729
"Subernarekha Multipurpose Project, Jharkhand",Jharkhand,Department of Water Resources-JH,9,151.57979604860589,72.07833228048011,88.63011684004024
Nardave Medium Irrigation Project,Maharashtra,Department of water resources-MH - II,9,269.7389577225007,60.93429158110882,341.0597748983259
Relining of Rajasthan feeder and Sirhind Feeder canal,Punjab,Department of Water Resources-PB,9,70.8338537113359,93.78531073446328,69.03147246159611
